bfs_nummer,gemeinde,total_area,score_sum,mean_score
2503,Erlinsbach (SO),2800587.814,9779820.498,3.492
6611,Chancy,2608666.351,9108500.958,3.492
2543,Bettlach,3040506.349,10613704.782,3.491
2828,Lausen,2470386.566,8622266.160,3.490
2501,Winznau,1544175.295,5382215.645,3.485
6300,Zermatt,9253013.445,32249274.578,3.485
576,Grindelwald,11248565.879,39197999.106,3.485
1323,Wollerau,3844200.309,13392663.987,3.484
2160,Vuadens,2440788.020,8501144.602,3.483
736,Hagneck,570945.456,1987134.429,3.480
3506,Vaz/Obervaz,8439976.115,29373120.738,3.480
112,Bubikon,3836492.589,13347460.940,3.479
1093,Neuenkirch,5034067.347,17512848.854,3.479
5516,Cugy (VD),1392866.068,4845469.172,3.479
4139,Menziken,2298760.361,7993034.083,3.477
63,Lufingen,2124947.369,7387388.847,3.477
5861,Rolle,2239394.284,7784427.409,3.476
5885,Jongny,1338869.682,4653726.750,3.476
590,Ringgenberg (BE),1694213.155,5886170.614,3.474
2834,Ziefen,2278339.756,7914751.815,3.474
2576,Gretzenbach,2210030.727,7675936.141,3.473
1085,Geuensee,1542453.253,5355312.793,3.472
5268,Vacallo,934185.904,3241692.671,3.470
2772,Pfeffingen,1336460.990,4637040.204,3.470
5692,Vucherens,1125692.771,3905075.488,3.469
669,Münchenwiler,498754.568,1729855.165,3.468
4005,Erlinsbach (AG),3206397.423,11119769.481,3.468
7008,Mauren,4027894.880,13964824.600,3.467
3746,Zernez,4018176.040,13922023.269,3.465
1509,Stans,4016675.749,13914678.504,3.464
6614,Choulex,2465832.962,8541916.476,3.464
2530,Recherswil,1108116.490,3838360.653,3.464
577,Gsteigwiler,1073439.758,3717381.893,3.463
1213,Schattdorf,2885391.864,9991450.977,3.463
3785,La Punt Chamues-ch,1577477.106,5462087.225,3.463
5096,Brione sopra Minusio,398740.464,1380409.313,3.462
158,Stäfa,5045257.905,17463236.889,3.461
4196,Fahrwangen,951413.550,3292733.886,3.461
4461,Amriswil,5646622.792,19539748.853,3.460
1207,Flüelen,2458820.544,8507302.869,3.460
2886,Hölstein,1347207.081,4659296.797,3.458
2519,Gerlafingen,1524205.685,5269971.775,3.458
2177,Chénens,571150.209,1973894.085,3.456
6248,Sierre,8128106.894,28080128.675,3.455
5112,Lavertezzo,895925.997,3094940.952,3.454
1407,Sarnen,3537131.093,12213309.949,3.453
1002,Entlebuch,523139.134,1806133.757,3.452
55,Eglisau,2384608.507,8231944.310,3.452
1063,Meggen,5190113.117,17916853.120,3.452
2891,Niederdorf,1072925.179,3703669.582,3.452
5785,Corcelles-le-Jorat,223316.056,770871.961,3.452
4696,Tägerwilen,3480596.542,12011632.549,3.451
2526,Lohn-Ammannsegg,1467816.011,5063991.671,3.450
5640,Lussy-sur-Morges,867321.561,2990211.180,3.448
321,Aarwangen,2300351.836,7930024.003,3.447
3786,Samedan,3132626.667,10799081.875,3.447
2308,Ueberstorf,2396526.248,8261156.896,3.447
136,Langnau am Albis,1991627.891,6861802.607,3.445
4486,Hauptwil-Gottshaus,557862.188,1920462.640,3.443
4104,Lupfig,2840888.426,9776847.699,3.441
116,Grüningen,2267348.675,7802878.885,3.441
291,Andelfingen,2334376.904,8032141.190,3.441
3235,Rheineck,1533897.643,5276668.132,3.440
5933,Valeyres-sous-Montagny,593369.095,2040782.522,3.439
606,Brenzikofen,575262.733,1978431.666,3.439
83,Buchs (ZH),1820933.580,6258361.087,3.437
1151,Willisau,5358075.549,18408301.519,3.436
885,Uttigen,627510.605,2155023.557,3.434
1098,Ruswil,8024704.850,27556552.205,3.434
5151,Bioggio,3455970.044,11866913.196,3.434
5909,Cheseaux-Noréaz,854652.546,2934445.535,3.433
354,Kirchlindach,4224311.269,14500905.236,3.433
3945,Trimmis,2724186.283,9350906.984,3.433
89,Niederglatt,1706296.176,5856687.618,3.432
176,Lindau,4218496.956,14477774.852,3.432
6644,Versoix,5763332.434,19777119.449,3.432
1095,Oberkirch,3021722.818,10367885.000,3.431
5613,Bourg-en-Lavaux,3693429.904,12672252.790,3.431
5632,Denges,1514701.605,5196895.491,3.431
587,Matten bei Interlaken,1535241.618,5267051.859,3.431
337,Roggwil (BE),3409036.161,11694530.367,3.430
1349,Wangen (SZ),3326548.862,11410921.673,3.430
745,Port,1562020.840,5357138.750,3.430
64,Nürensdorf,3729132.844,12788308.770,3.429
1216,Silenen,3989480.823,13674731.853,3.428
2544,Feldbrunnen-St. Niklaus,1022894.393,3505095.913,3.427
4282,Rothrist,4492120.761,15392887.364,3.427
3021,Bühler,1238399.286,4243060.336,3.426
1331,Küssnacht (SZ),6915369.746,23688182.558,3.425
6639,Soral,1093900.977,3746667.673,3.425
